2016-05-18 04:07:11.639 | QA02A0101 | /LM/W3SVC/4/ROOT-1-131079463493145987 | 10 | INFO | ITC.Common.Services.ServiceBroker.Broker | NLog.LoggerImpl.Write | Class Created: Broker with connectionString=data source=ExternalDB;initial catalog=External;integrated security=True; |  |  |  |  |
2016-05-18 04:07:24.775 | QA02A0101 | /LM/W3SVC/4/ROOT-1-131079463493145987 | 9 | INFO | ITC.Common.Services.ServiceBroker.Broker | NLog.LoggerImpl.Write | Class Created: Broker with connectionString=data source=ExternalDB;initial catalog=External;integrated security=True; |  |  |  |  |
2016-05-18 04:07:26.663 | QA02A0101 | /LM/W3SVC/4/ROOT-1-131079463493145987 | 9 | INFO | ITC.Common.Services.ServiceBroker.Broker | NLog.LoggerImpl.Write | Class Created: Broker with connectionString=data source=ExternalDB;initial catalog=External;integrated security=True; |  |  |  |  |
2016-05-18 04:07:46.242 | QA02A0101 |  | 9 | INFO | ITC.External.ExternalServiceForRamQuestData.ExternalServiceForRamQuestRepository | NLog.LoggerImpl.Write | Class Created: ExternalServiceForRamQuestRepository |  |  |  |  |
2016-05-18 04:07:46.242 | QA02A0101 |  | 9 | INFO | ITC.External.ExternalServiceForRamQuestBusiness.Logic.PingsLogic | NLog.LoggerImpl.Write | Class Created: PingLogic |  |  |  |  |
2016-05-18 04:07:47.084 | QA02A0101 | /LM/W3SVC/4/ROOT-1-131079463493145987 | 13 | INFO | ITC.Common.Services.ServiceBroker.Broker | NLog.LoggerImpl.Write | Class Created: Broker with connectionString=data source=ExternalDB;initial catalog=External;integrated security=True; |  |  |  |  |
2016-05-18 04:07:51.249 | QA02A0101 |  | 8 | INFO | ITC.External.ExternalServiceForRamQuestData.ExternalServiceForRamQuestRepository | NLog.LoggerImpl.Write | Class Created: ExternalServiceForRamQuestRepository |  |  |  |  |
2016-05-18 04:07:51.249 | QA02A0101 |  | 8 | INFO | ITC.External.ExternalServiceForRamQuestBusiness.Logic.PingsLogic | NLog.LoggerImpl.Write | Class Created: PingLogic |  |  |  |  |
2016-05-18 04:08:12.653 | QA02A0101 | /LM/W3SVC/4/ROOT-1-131079463493145987 | 8 | INFO | ITC.Common.Services.ServiceBroker.Broker | NLog.LoggerImpl.Write | Class Created: Broker with connectionString=data source=ExternalDB;initial catalog=External;integrated security=True; |  |  |  |  |
2016-05-18 04:08:25.788 | QA02A0101 | /LM/W3SVC/4/ROOT-1-131079463493145987 | 9 | INFO | ITC.Common.Services.ServiceBroker.Broker | NLog.LoggerImpl.Write | Class Created: Broker with connectionString=data source=ExternalDB;initial catalog=External;integrated security=True; |  |  |  |  |
2016-05-18 04:08:27.676 | QA02A0101 | /LM/W3SVC/4/ROOT-1-131079463493145987 | 9 | INFO | ITC.Common.Services.ServiceBroker.Broker | NLog.LoggerImpl.Write | Class Created: Broker with connectionString=data source=ExternalDB;initial catalog=External;integrated security=True; |  |  |  |  |
2016-05-18 04:08:46.256 | QA02A0101 |  | 9 | INFO | ITC.External.ExternalServiceForRamQuestData.ExternalServiceForRamQuestRepository | NLog.LoggerImpl.Write | Class Created: ExternalServiceForRamQuestRepository |  |  |  |  |
2016-05-18 04:08:46.256 | QA02A0101 |  | 9 | INFO | ITC.External.ExternalServiceForRamQuestBusiness.Logic.PingsLogic | NLog.LoggerImpl.Write | Class Created: PingLogic |  |  |  |  |
2016-05-18 04:08:48.097 | QA02A0101 | /LM/W3SVC/4/ROOT-1-131079463493145987 | 13 | INFO | ITC.Common.Services.ServiceBroker.Broker | NLog.LoggerImpl.Write | Class Created: Broker with connectionString=data source=ExternalDB;initial catalog=External;integrated security=True; |  |  |  |  |
2016-05-18 04:08:51.248 | QA02A0101 |  | 10 | INFO | ITC.External.ExternalServiceForRamQuestData.ExternalServiceForRamQuestRepository | NLog.LoggerImpl.Write | Class Created: ExternalServiceForRamQuestRepository |  |  |  |  |
2016-05-18 04:08:51.248 | QA02A0101 |  | 10 | INFO | ITC.External.ExternalServiceForRamQuestBusiness.Logic.PingsLogic | NLog.LoggerImpl.Write | Class Created: PingLogic |  |  |  |  |
